;von;bis;;
Datum:;21.10.2020;21.10.2020;;
Enthalt Z;144;144;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;0.00;100.00 %;
Auslagen;;;0.00;100.00 %;
Bedienungsgeld;;;0.00;100.00 %;
Trinkgeld;;;0.00;100.00 %;
;;;;
Umsatz (Brutto);;;;;
Total;;;0.00;100.00 %;
;;;;
Umsatz (Netto);;;;;
Total;;;0.00;100.00 %;
;;;;
Steuern;;;;;
Total;;;0.00;100.00 %;
;;;;
Zahlungsarten;;;;;
Total;;0;0.00;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Total;;;0.00;100.00 %;0.00
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
;;;;
;;;;
Warengruppen;;;;;
;;;;
Produkte;;;;;
;;;;
