date,day_of_week,month,year,week_of_year,Getränke_sales,Getränke_count,Speisen_sales,Speisen_count,Sonstiges_sales,Sonstiges_count,Milchmischgetränke_sales,Milchmischgetränke_count,Röstkaffee_sales,Röstkaffee_count,Kaffee_sales,Kaffee_count
2021-01-02,Saturday,January,2021,53,692.9,486.0,125.40,43,424.25,29,525.40,152,417.25,28,141.50,326
2021-01-04,Monday,January,2021,1,429.2,297.0,37.00,15,265.00,21,316.40,94,218.00,19,104.50,192
2021-01-05,Tuesday,January,2021,1,392.8,309.0,54.40,19,243.50,22,279.50,82,218.00,18,105.00,219
2021-01-07,Thursday,January,2021,1,493.2,290.0,34.60,12,445.75,31,352.70,103,331.75,27,115.50,174
2021-01-08,Friday,January,2021,1,557.5,350.0,50.60,16,280.50,21,410.00,118,217.50,19,135.50,215
2021-01-09,Saturday,January,2021,1,771.4,538.0,112.40,36,720.05,42,568.50,165,522.05,36,178.50,363
2021-01-11,Monday,January,2021,2,363.8,222.0,48.80,16,289.50,21,281.10,81,265.50,19,63.00,118
2021-01-12,Tuesday,January,2021,2,291.6,183.0,72.20,23,296.50,19,221.10,66,241.00,16,65.50,113
2021-01-13,Wednesday,January,2021,2,437.6,309.0,65.80,23,291.50,21,328.10,94,236.50,19,109.50,215
2021-01-14,Thursday,January,2021,2,438.0,313.0,81.40,29,262.50,19,353.00,103,206.50,17,78.00,208
2021-01-15,Friday,January,2021,2,668.6,439.0,57.40,18,379.00,30,511.10,148,330.50,25,134.50,237
2021-01-16,Saturday,January,2021,2,889.22,648.0,92.20,31,800.08,55,680.70,198,730.58,52,201.52,447
2021-01-18,Monday,January,2021,3,390.4,249.0,63.00,20,254.00,19,269.70,78,254.00,19,106.00,167
2021-01-19,Tuesday,January,2021,3,337.1,249.0,68.80,22,376.25,32,243.10,71,359.75,30,84.00,166
2021-01-20,Wednesday,January,2021,3,424.9,304.0,61.00,19,229.00,19,319.60,92,229.00,19,89.00,205
2021-01-21,Thursday,January,2021,3,561.1,439.0,66.60,22,308.00,25,404.10,117,308.00,25,149.00,294
2021-01-22,Friday,January,2021,3,707.6,526.0,94.40,33,456.40,30,530.30,154,386.40,28,178.50,320
2021-01-23,Saturday,January,2021,3,991.2,753.0,144.20,49,412.10,28,754.10,220,391.10,25,227.50,524
2021-01-25,Monday,January,2021,4,406.1,269.0,42.60,14,303.50,22,306.50,88,303.50,22,98.10,157
2021-01-26,Tuesday,January,2021,4,503.0,348.0,55.60,18,409.50,32,382.70,112,374.50,30,104.00,208
2021-01-27,Wednesday,January,2021,4,378.4,289.0,98.00,34,268.00,22,279.10,80,233.00,21,92.00,206
2021-01-28,Thursday,January,2021,4,413.6,321.0,34.00,12,111.00,8,331.10,97,111.00,8,82.50,224
2021-01-29,Friday,January,2021,4,597.9,417.0,62.80,24,489.50,38,441.90,126,414.50,34,150.00,243
2021-01-30,Saturday,January,2021,4,800.5,621.0,105.00,38,1001.30,71,561.70,164,956.30,69,222.00,436
2021-02-01,Monday,February,2021,5,402.9,308.0,43.00,15,271.75,21,316.90,92,253.75,20,91.00,191
2021-02-02,Tuesday,February,2021,5,530.7,376.0,31.80,10,238.75,19,390.20,112,218.75,17,139.50,237
2021-02-03,Wednesday,February,2021,5,380.0,296.0,57.20,19,241.50,16,294.50,85,241.50,16,82.00,204
2021-02-04,Thursday,February,2021,5,774.8,623.0,48.80,18,402.50,28,593.70,174,395.50,27,139.50,303
2021-02-05,Friday,February,2021,5,744.8,580.0,86.20,32,368.75,24,562.50,162,331.75,23,143.00,252
2021-02-06,Saturday,February,2021,5,1357.1,1058.0,260.60,91,736.50,55,1013.40,294,729.50,54,326.00,754
2021-02-08,Monday,February,2021,6,424.4,332.0,110.80,37,341.25,26,317.90,94,285.25,22,95.00,232
2021-02-09,Tuesday,February,2021,6,446.0,347.0,126.80,43,300.25,21,356.50,104,300.25,21,85.00,235
2021-02-10,Wednesday,February,2021,6,393.9,295.0,82.40,26,243.50,16,309.40,89,243.50,16,81.00,205
2021-02-11,Thursday,February,2021,6,560.0,404.0,129.60,39,311.00,24,406.00,119,311.00,24,143.00,271
2021-02-12,Friday,February,2021,6,698.7,540.0,116.60,37,339.00,23,520.60,149,339.00,23,162.00,386
2021-02-13,Saturday,February,2021,6,1085.7,903.0,216.80,71,515.00,33,887.70,255,426.00,29,179.50,633
2021-02-15,Monday,February,2021,7,475.5,408.0,96.00,28,170.25,15,389.70,114,160.75,14,91.50,268
2021-02-16,Tuesday,February,2021,7,646.5,509.0,101.00,34,466.75,33,503.20,146,383.25,29,114.50,286
2021-02-17,Wednesday,February,2021,7,741.0,602.0,108.80,37,511.00,35,544.60,158,491.00,33,195.60,314
2021-02-18,Thursday,February,2021,7,729.3,570.0,104.80,33,340.50,23,552.50,160,234.00,19,174.00,359
2021-02-19,Friday,February,2021,7,957.1,817.0,191.00,63,639.50,46,712.20,207,546.50,39,237.00,503
2021-02-20,Saturday,February,2021,7,1852.8,1393.0,306.60,101,713.50,52,1359.40,395,673.00,47,456.00,983
2021-02-22,Monday,February,2021,8,857.5,693.0,157.60,51,465.00,34,628.80,183,448.50,32,176.50,351
2021-02-23,Tuesday,February,2021,8,802.0,796.0,124.20,39,476.00,34,648.40,188,459.00,32,204.00,506
2021-02-24,Wednesday,February,2021,8,1220.0,1087.0,135.60,43,314.00,22,631.60,182,307.00,21,614.50,730
2021-02-25,Thursday,February,2021,8,965.2,738.0,177.00,59,332.50,22,685.70,199,233.00,19,264.00,440
2021-02-26,Friday,February,2021,8,1129.8,923.0,192.60,64,358.75,23,919.50,264,303.75,21,189.00,644
2021-02-27,Saturday,February,2021,8,1691.0,1309.0,330.60,106,786.00,59,1260.70,362,749.50,58,390.00,930
2021-03-01,Monday,March,2021,9,749.6,635.0,198.40,60,317.50,24,578.50,167,310.50,23,160.00,463
2021-03-02,Tuesday,March,2021,9,708.0,615.0,177.10,54,466.00,31,536.00,157,398.00,29,157.00,448
2021-03-03,Wednesday,March,2021,9,807.3,625.0,191.80,59,494.50,34,646.50,186,438.50,31,143.00,429
2021-03-04,Thursday,March,2021,9,758.3,684.0,184.10,64,257.60,19,631.30,185,221.10,17,146.50,441
2021-03-05,Friday,March,2021,9,571.4,436.0,222.30,82,293.25,24,454.90,131,293.25,24,108.00,299
2021-03-06,Saturday,March,2021,9,1304.6,924.0,646.70,283,1007.00,74,1004.10,285,964.50,71,236.50,567
2021-03-08,Monday,March,2021,10,840.2,679.0,189.80,60,249.75,25,688.70,196,232.75,23,144.50,479
2021-03-09,Tuesday,March,2021,10,676.3,509.0,187.80,58,304.00,17,559.30,161,239.00,16,116.00,347
2021-03-10,Wednesday,March,2021,10,774.5,644.0,133.00,41,567.75,43,597.70,173,483.75,39,167.00,467
2021-03-11,Thursday,March,2021,10,516.9,450.0,110.20,40,341.50,23,397.40,115,271.50,21,113.50,330
2021-03-12,Friday,March,2021,10,966.8,899.0,215.80,69,575.00,43,730.70,214,575.00,43,235.50,642
2021-03-13,Saturday,March,2021,10,1039.7,821.0,417.60,175,749.50,63,762.30,219,624.50,52,303.10,436
2021-03-15,Monday,March,2021,11,532.3,437.0,128.60,41,380.00,24,419.50,122,336.50,22,99.50,311
2021-03-16,Tuesday,March,2021,11,476.0,338.0,95.00,31,128.00,10,326.10,112,128.00,10,96.50,204
2021-03-17,Wednesday,March,2021,11,483.6,380.0,118.20,37,344.00,27,304.50,124,344.00,27,111.00,236
2021-03-18,Thursday,March,2021,11,667.7,486.0,133.20,45,330.50,23,538.60,286,330.50,23,90.50,182
2021-03-19,Friday,March,2021,11,727.1,560.0,169.20,57,344.75,28,524.70,299,316.75,27,92.50,145
2021-03-20,Saturday,March,2021,11,1646.1,1395.0,254.80,87,622.00,51,1084.50,752,592.50,48,257.00,479
2021-03-22,Monday,March,2021,12,603.6,511.0,136.20,42,381.50,27,392.30,166,381.50,27,66.50,196
2021-03-23,Tuesday,March,2021,12,712.0,606.0,140.40,46,472.75,41,392.70,325,396.25,37,182.00,133
2021-03-24,Wednesday,March,2021,12,1149.3,769.0,208.60,68,595.50,46,670.70,438,495.50,34,199.50,210
2021-03-25,Thursday,March,2021,12,1090.9,859.0,186.60,63,248.00,21,668.70,447,218.00,18,174.00,245
2021-03-26,Friday,March,2021,12,1450.7,1086.0,290.40,95,786.00,54,920.20,613,713.50,51,280.00,294
2021-03-27,Saturday,March,2021,12,1588.0,1198.0,469.60,151,656.25,52,1052.40,649,656.25,52,232.50,375
2021-03-29,Monday,March,2021,13,949.5,826.0,187.20,62,722.65,51,612.80,404,466.25,41,47.00,266
2021-03-30,Tuesday,March,2021,13,1106.2,837.0,171.20,57,523.00,37,580.10,493,425.00,32,204.00,123
2021-03-31,Wednesday,March,2021,13,1299.2,1033.0,226.00,72,503.50,42,779.90,652,440.00,37,217.00,227
2021-04-01,Thursday,April,2021,13,981.4,701.0,248.20,81,1022.75,75,651.60,393,1015.75,74,129.00,194
2021-04-02,Friday,April,2021,13,901.3,687.0,208.60,66,285.00,18,485.70,321,166.00,14,159.00,179
2021-04-03,Saturday,April,2021,13,1228.9,1056.0,347.00,112,850.50,68,737.10,413,821.50,63,143.50,463
2021-04-04,Sunday,April,2021,13,641.9,501.0,158.80,51,105.50,10,399.40,288,96.00,9,70.10,129
2021-04-05,Monday,April,2021,14,607.6,499.0,131.20,43,285.00,24,370.30,278,249.00,22,80.40,141
2021-04-06,Tuesday,April,2021,14,677.3,509.0,142.00,46,358.25,27,386.80,291,346.25,25,124.00,142
2021-04-07,Wednesday,April,2021,14,543.7,449.0,104.40,33,356.00,27,328.20,233,349.00,26,133.00,117
2021-04-08,Thursday,April,2021,14,732.9,746.0,126.00,44,263.50,22,339.70,430,235.50,21,163.80,160
2021-04-09,Friday,April,2021,14,1121.6,704.0,177.80,57,382.00,31,639.60,333,382.00,31,223.40,138
2021-04-10,Saturday,April,2021,14,1232.6,969.0,240.00,76,462.60,34,699.50,533,453.10,33,236.10,231
2021-04-11,Sunday,April,2021,14,1031.6,727.0,247.80,77,245.75,20,771.50,369,173.25,17,56.90,268
2021-04-12,Monday,April,2021,15,547.8,444.0,136.40,45,253.00,19,291.00,179,253.00,19,70.00,150
2021-04-13,Tuesday,April,2021,15,683.8,549.0,89.40,28,237.50,18,401.90,318,230.50,17,76.90,79
2021-04-14,Wednesday,April,2021,15,718.4,587.0,80.40,28,263.50,22,403.60,309,244.50,20,119.50,173
2021-04-15,Thursday,April,2021,15,762.8,591.0,131.80,43,550.50,41,506.20,339,477.50,37,101.90,187
2021-04-16,Friday,April,2021,15,1027.82,727.0,202.60,65,573.58,45,626.30,357,566.58,44,74.40,214
2021-04-17,Saturday,April,2021,15,1482.9,1198.0,281.40,87,676.50,49,789.70,504,661.50,48,321.80,481
2021-04-18,Sunday,April,2021,15,869.0,696.0,183.20,56,278.00,21,505.70,450,278.00,21,164.60,126
2021-04-19,Monday,April,2021,16,431.7,340.0,85.20,27,230.00,18,258.50,172,205.00,15,88.50,101
2021-04-20,Tuesday,April,2021,16,829.8,692.0,115.00,36,176.30,15,467.00,358,176.30,15,141.50,199
2021-04-21,Wednesday,April,2021,16,855.4,741.0,172.40,57,244.90,21,557.30,368,244.90,21,125.70,158
2021-04-22,Thursday,April,2021,16,917.92,713.0,121.60,40,567.05,41,550.02,461,530.05,40,135.60,131
2021-04-23,Friday,April,2021,16,1156.98,905.0,232.20,73,481.00,32,571.08,509,406.00,28,261.50,238
2021-04-24,Saturday,April,2021,16,1581.8,1224.0,240.60,76,773.45,51,977.50,742,766.45,50,335.20,290
2021-04-25,Sunday,April,2021,16,834.6,638.0,164.40,48,73.30,9,460.40,373,66.30,8,180.90,176
2021-04-26,Monday,April,2021,17,625.26,505.0,115.36,36,205.70,17,365.46,205,205.70,17,66.70,193
2021-04-27,Tuesday,April,2021,17,668.6,565.0,94.80,31,374.80,27,255.50,294,374.80,27,168.40,141
2021-04-28,Wednesday,April,2021,17,698.6,620.0,108.20,35,116.00,10,386.70,343,116.00,10,129.90,188
2021-04-29,Thursday,April,2021,17,767.9,642.0,169.60,53,301.90,22,421.00,303,292.40,21,158.50,191
2021-04-30,Friday,April,2021,17,495.5,434.0,200.40,61,517.00,31,300.50,262,406.50,27,120.00,140
2021-05-01,Saturday,May,2021,17,448.9,359.0,106.40,30,227.00,17,317.70,246,227.00,17,74.00,67
2021-05-02,Sunday,May,2021,17,470.9,316.0,66.00,20,85.80,5,332.20,221,85.80,5,82.00,52
2021-05-03,Monday,May,2021,18,783.6,682.0,164.40,52,565.38,43,447.10,279,536.88,40,163.90,216
2021-05-04,Tuesday,May,2021,18,635.65,516.0,107.80,35,482.00,38,394.15,251,462.00,34,77.50,152
2021-05-05,Wednesday,May,2021,18,543.2,452.0,98.60,33,417.50,29,234.10,266,339.50,24,129.50,86
2021-05-06,Thursday,May,2021,18,519.94,409.0,114.20,37,250.75,19,316.70,222,250.75,19,97.50,130
2021-05-07,Friday,May,2021,18,857.52,713.0,241.08,79,624.00,35,454.20,414,406.00,32,163.60,162
2021-05-08,Saturday,May,2021,18,1506.7,1159.0,430.40,134,649.50,49,1005.00,696,635.50,47,242.20,304
2021-05-09,Sunday,May,2021,18,754.3,578.0,145.40,38,155.20,14,334.30,275,110.50,10,118.20,125
2021-05-10,Monday,May,2021,19,621.24,492.0,141.40,46,282.00,22,374.40,265,282.00,22,98.90,124
2021-05-11,Tuesday,May,2021,19,629.5,518.0,127.40,42,311.88,23,357.10,294,247.38,21,120.80,143
2021-05-12,Wednesday,May,2021,19,623.6,525.0,128.40,46,400.90,29,389.70,368,348.90,26,90.50,63
2021-05-13,Thursday,May,2021,19,1117.4,908.0,234.60,77,226.50,18,633.40,469,198.50,17,184.30,286
2021-05-14,Friday,May,2021,19,1417.1,1059.0,237.12,73,715.00,43,800.00,592,715.00,43,206.00,246
2021-05-15,Saturday,May,2021,19,1460.8,1198.0,336.20,93,849.40,58,926.40,719,794.40,56,335.90,251
2021-05-16,Sunday,May,2021,19,1090.6,820.0,302.80,83,240.00,17,734.20,449,240.00,17,123.60,256
2021-05-17,Monday,May,2021,20,639.1,583.0,134.60,43,260.50,14,358.10,255,260.50,14,107.00,203
2021-05-18,Tuesday,May,2021,20,692.0,646.0,275.60,82,328.70,24,380.80,439,328.70,24,126.80,110
2021-05-19,Wednesday,May,2021,20,944.3,785.0,125.60,42,363.00,28,514.50,515,363.00,28,210.50,180
2021-05-20,Thursday,May,2021,20,777.1,674.0,131.40,46,328.20,24,463.70,363,328.20,24,102.00,184
2021-05-21,Friday,May,2021,20,794.2,660.0,153.40,50,554.00,39,393.10,350,554.00,39,194.60,150
2021-05-22,Saturday,May,2021,20,1892.26,1441.0,382.40,117,651.44,48,1211.60,878,614.44,47,303.60,275
2021-05-23,Sunday,May,2021,20,1324.4,970.0,319.40,86,201.50,14,826.20,562,201.50,14,181.20,236
2021-05-24,Monday,May,2021,21,1049.6,845.0,298.40,87,211.50,16,579.40,534,204.50,15,129.40,128
2021-05-25,Tuesday,May,2021,21,815.6,603.0,153.80,47,270.50,20,405.40,239,233.00,18,124.80,160
2021-05-26,Wednesday,May,2021,21,606.2,477.0,138.00,44,315.00,21,354.80,337,315.00,21,124.00,80
2021-05-27,Thursday,May,2021,21,971.2,780.0,240.00,76,343.50,28,597.20,454,324.00,26,122.40,171
2021-05-28,Friday,May,2021,21,1057.8,839.0,201.00,62,505.90,34,562.00,393,505.90,34,144.20,291
2021-05-29,Saturday,May,2021,21,1432.26,1122.0,388.00,111,703.40,50,794.60,699,676.40,47,256.34,215
2021-05-30,Sunday,May,2021,21,1425.2,1033.0,332.40,92,145.00,12,762.80,586,145.00,12,264.00,269
2021-05-31,Monday,May,2021,22,1037.8,639.0,178.20,61,365.00,22,455.40,314,328.00,21,170.80,149
2021-06-01,Tuesday,June,2021,22,887.0,586.0,170.40,56,303.00,23,477.00,292,249.00,19,214.80,128
2021-06-02,Wednesday,June,2021,22,807.6,524.0,113.00,38,159.00,14,451.40,306,159.00,14,168.00,152
